covariate_set,lag_weeks,reference_date,horizon,target_end_date,observed,median,absolute_error,squared_error
NSSP only,4,2025-09-27,1,2025-10-04,976,936.4512045026344,39.54879549736563,1564.107225292448
NSSP only,4,2025-09-27,2,2025-10-11,1016,820.1861159400971,195.81388405990288,38343.07719062509
NSSP only,4,2025-09-27,3,2025-10-18,1119,803.0540584405489,315.94594155945106,99821.83798788807
NSSP only,4,2025-10-04,1,2025-10-11,1016,888.5378351606939,127.46216483930607,16246.603465522432
NSSP only,4,2025-10-04,2,2025-10-18,1119,881.2641590393991,237.73584096060085,56518.3300772441
NSSP only,4,2025-10-04,3,2025-10-25,1199,782.386611728914,416.613388271086,173566.71528671467
NSSP only,4,2025-10-11,1,2025-10-18,1119,1101.549335437286,17.45066456271411,304.52569368036603
NSSP only,4,2025-10-11,2,2025-10-25,1199,1034.4815659882518,164.51843401174824,27066.31512967796
NSSP only,4,2025-10-11,3,2025-11-01,1358,958.5274024394151,399.47259756058486,159578.35620180098
NSSP only,4,2025-10-18,1,2025-10-25,1199,1064.651782525501,134.34821747449905,18049.44353857529
NSSP only,4,2025-10-18,2,2025-11-01,1358,993.0861999937576,364.91380000624235,133162.08143499584
NSSP only,4,2025-10-18,3,2025-11-08,1787,913.812041101047,873.187958898953,762457.2115661196
NSSP only,4,2025-10-25,1,2025-11-01,1358,1225.3152745445161,132.68472545548389,17605.236369197133
NSSP only,4,2025-10-25,2,2025-11-08,1787,1179.6096244717173,607.3903755282827,368923.0682843882
NSSP only,4,2025-10-25,3,2025-11-15,2487,1104.2343790037455,1382.7656209962545,1912040.7626091572
NSSP only,4,2025-11-01,1,2025-11-08,1787,1408.963237188953,378.0367628110471,142911.79403665586
NSSP only,4,2025-11-01,2,2025-11-15,2487,1366.791438832129,1120.208561167871,1254867.2205137918
NSSP only,4,2025-11-01,3,2025-11-22,3584,1146.7788989528049,2437.221101047195,5940046.695389702
NSSP only,4,2025-11-08,1,2025-11-15,2487,2020.4062401404412,466.59375985955876,217709.7367398796
NSSP only,4,2025-11-08,2,2025-11-22,3584,1895.0420089925046,1688.9579910074954,2852579.095388075
NSSP only,4,2025-11-08,3,2025-11-29,5220,1864.3903067429205,3355.6096932570795,11260116.41348087
NSSP only,4,2025-11-15,1,2025-11-22,3584,2702.0197006120206,881.9802993879794,777889.2485085097
NSSP only,4,2025-11-15,2,2025-11-29,5220,2788.395418517118,2431.604581482882,5912700.840688542
NSSP only,4,2025-11-15,3,2025-12-06,7449,2660.6606451573994,4788.339354842601,22928193.777134456
NSSP only,4,2025-11-22,1,2025-11-29,5220,4313.990521106045,906.009478893955,820853.1758456959
NSSP only,4,2025-11-22,2,2025-12-06,7449,4408.244742179861,3040.7552578201394,9246192.537960822
NSSP only,4,2025-11-22,3,2025-12-13,11156,4249.407712739998,6906.592287260002,47701017.022439346
NSSP only,4,2025-11-29,1,2025-12-06,7449,5977.158649148288,1471.8413508517124,2166316.9620769937
NSSP only,4,2025-11-29,2,2025-12-13,11156,6048.76201186678,5107.23798813322,26083879.86743106
NSSP only,4,2025-11-29,3,2025-12-20,21083,5899.604338934971,15183.39566106503,230535503.80044836
NSSP only,4,2025-12-06,1,2025-12-13,11156,8601.684773942598,2554.3152260574025,6524526.274068679
NSSP only,4,2025-12-06,2,2025-12-20,21083,8831.888542996216,12251.111457003784,150089731.93192938
NSSP only,4,2025-12-06,3,2025-12-27,37602,8658.053774659329,28943.94622534067,837752023.0954125
NSSP only,4,2025-12-13,1,2025-12-20,21083,13278.717770471136,7804.282229528864,60906821.11814002
NSSP only,4,2025-12-13,2,2025-12-27,37602,13785.982856736679,23816.01714326332,567202672.5682124
NSSP only,4,2025-12-13,3,2026-01-03,42634,13136.937901494255,29497.062098505747,870076672.4431043
NSSP only,4,2025-12-20,1,2025-12-27,37602,27607.660789937647,9994.339210062353,99886816.24578978
NSSP only,4,2025-12-20,2,2026-01-03,42634,29332.90061810512,13301.099381894881,176919244.7670444
NSSP only,4,2025-12-20,3,2026-01-10,29933,27971.492857818354,1961.5071421816465,3847510.2688296097
NSSP only,4,2025-12-27,1,2026-01-03,42634,48131.67455947381,5497.6745594738095,30224425.561885547
NSSP only,4,2025-12-27,2,2026-01-10,29933,51054.805121325895,21121.805121325895,446130651.5832688
NSSP only,4,2025-12-27,3,2026-01-17,19754,50127.72252378653,30373.722523786528,922563019.951977
NSSP only,4,2026-01-03,1,2026-01-10,29933,40633.09683540859,10700.096835408593,114492072.28712098
NSSP only,4,2026-01-03,2,2026-01-17,19754,37335.31276089418,17581.31276089418,309102558.39638054
NSSP only,4,2026-01-03,3,2026-01-24,16819,38722.707414928256,21903.707414928256,479772398.5187831
NSSP only,4,2026-01-10,1,2026-01-17,19754,16267.90636866496,3486.0936313350394,12152848.80643472
NSSP only,4,2026-01-10,2,2026-01-24,16819,12760.71129914602,4058.28870085398,16469707.179479085
