reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.35,2280
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.4,3040
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.45,3774
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.5,4498
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.55,5221
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.6,5956
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.65,6715
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.7,7516
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.75,8380
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.8,9342
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.85,10463
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.9,11874
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.95,13965
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.975,15778
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.99,17887
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.01,0
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.025,0
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.05,0
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.1,0
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.15,0
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.2,438
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.25,1699
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.3,2831
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.35,3881
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.4,4876
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.45,5840
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.5,6788
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.55,7736
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.6,8699
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.65,9694
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.7,10744
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.75,11876
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.8,13137
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.85,14607
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.9,16456
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.95,19197
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.975,21574
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.99,24338
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.01,0
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.025,0
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.05,0
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.1,0
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.15,0
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.2,0
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.25,229
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.3,690
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.35,1116
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.4,1521
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.45,1912
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.5,2298
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.55,2683
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.6,3074
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.65,3479
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.7,3905
