reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.025,8908
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.05,10894
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.1,13183
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.15,14728
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.2,15956
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.25,17009
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.3,17955
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.35,18832
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.4,19664
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.45,20468
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.5,21260
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.55,22052
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.6,22857
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.65,23689
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.7,24565
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.75,25511
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.8,26564
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.85,27792
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.9,29337
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.95,31627
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.975,33613
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.99,35922
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.01,5442
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.025,8422
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.05,10984
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.1,13939
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.15,15932
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.2,17516
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.25,18875
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.3,20096
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.35,21227
