reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.55,3260
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.6,3848
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.65,4456
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.7,5096
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.75,5788
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.8,6558
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.85,7454
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.9,8584
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.95,10256
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.975,11708
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.99,13394
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.01,8
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.025,8
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.05,8
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.1,8
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.15,8
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.2,227
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.25,858
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.3,1424
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.35,1948
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.4,2446
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.45,3040
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.5,3827
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.55,4614
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.6,5412
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.65,6238
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.7,7109
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.75,8048
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.8,9094
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.85,10314
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.9,11848
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.95,14122
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.975,16094
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.99,18388
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.01,0
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.025,0
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.05,0
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.1,0
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.15,0
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.2,0
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.25,114
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.3,423
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.35,753
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.4,1067
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.45,1370
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.5,1669
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.55,1967
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.6,2270
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.65,2584
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.7,2914
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.75,3271
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.8,3668
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.85,4130
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.9,4713
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.95,5576
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.975,6324
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.99,7194
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.01,0
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.025,0
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.05,0
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.1,0
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.15,0
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.2,0
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.25,349
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.3,778
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.35,1175
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.4,1650
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.45,2236
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.5,2811
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.55,3386
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.6,3972
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.65,4576
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.7,5214
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.75,5901
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.8,6666
