model,reference_date,horizon,n_training_rows,target_end_date,min_training_target,max_training_target,nrounds,eta,max_depth,subsample,colsample_bytree,features
XGBoost + leading indicators,2025-12-20,3,70,2026-01-10,2024-08-24,2025-12-20,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2025-12-27,1,71,2026-01-03,2024-08-24,2025-12-27,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2025-12-27,2,71,2026-01-10,2024-08-24,2025-12-27,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2025-12-27,3,71,2026-01-17,2024-08-24,2025-12-27,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-01-03,1,72,2026-01-10,2024-08-24,2026-01-03,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-01-03,2,72,2026-01-17,2024-08-24,2026-01-03,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-01-03,3,72,2026-01-24,2024-08-24,2026-01-03,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-01-10,1,73,2026-01-17,2024-08-24,2026-01-10,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-01-10,2,73,2026-01-24,2024-08-24,2026-01-10,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-01-10,3,73,2026-01-31,2024-08-24,2026-01-10,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-01-17,1,74,2026-01-24,2024-08-24,2026-01-17,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-01-17,2,74,2026-01-31,2024-08-24,2026-01-17,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-01-17,3,74,2026-02-07,2024-08-24,2026-01-17,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
