model,reference_date,horizon,n_training_rows,target_end_date,min_training_target,max_training_target,nrounds,eta,max_depth,subsample,colsample_bytree,features
XGBoost quantile,2026-03-07,2,287,2026-03-21,2020-09-12,2026-03-07,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-03-07,3,286,2026-03-28,2020-09-19,2026-03-07,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-03-14,1,289,2026-03-21,2020-09-05,2026-03-14,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-03-14,2,288,2026-03-28,2020-09-12,2026-03-14,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-03-14,3,287,2026-04-04,2020-09-19,2026-03-14,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-03-21,1,290,2026-03-28,2020-09-05,2026-03-21,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-03-21,2,289,2026-04-04,2020-09-12,2026-03-21,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-03-21,3,288,2026-04-11,2020-09-19,2026-03-21,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-03-28,1,291,2026-04-04,2020-09-05,2026-03-28,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-03-28,2,290,2026-04-11,2020-09-12,2026-03-28,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-03-28,3,289,2026-04-18,2020-09-19,2026-03-28,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-04-04,1,292,2026-04-11,2020-09-05,2026-04-04,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-04-04,2,291,2026-04-18,2020-09-12,2026-04-04,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-04-04,3,290,2026-04-25,2020-09-19,2026-04-04,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-04-11,1,293,2026-04-18,2020-09-05,2026-04-11,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-04-11,2,292,2026-04-25,2020-09-12,2026-04-11,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-04-11,3,291,2026-05-02,2020-09-19,2026-04-11,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-04-18,1,294,2026-04-25,2020-09-05,2026-04-18,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-04-18,2,293,2026-05-02,2020-09-12,2026-04-18,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-04-18,3,292,2026-05-09,2020-09-19,2026-04-18,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-04-25,1,295,2026-05-02,2020-09-05,2026-04-25,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-04-25,2,294,2026-05-09,2020-09-12,2026-04-25,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-04-25,3,293,2026-05-16,2020-09-19,2026-04-25,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-05-02,1,296,2026-05-09,2020-09-05,2026-05-02,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-05-02,2,295,2026-05-16,2020-09-12,2026-05-02,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-05-02,3,294,2026-05-23,2020-09-19,2026-05-02,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-05-09,1,297,2026-05-16,2020-09-05,2026-05-09,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-05-09,2,296,2026-05-23,2020-09-12,2026-05-09,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-05-09,3,295,2026-05-30,2020-09-19,2026-05-09,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-05-16,1,298,2026-05-23,2020-09-05,2026-05-16,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-05-16,2,297,2026-05-30,2020-09-12,2026-05-16,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2026-05-16,3,296,2026-06-06,2020-09-19,2026-05-16,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
